State,Year,Population,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,1960,3266740,33823,11626,19344,2853,1035.4,355.9,592.1,87.3
Alabama,1961,3302000,32541,11205,18801,2535,985.5,339.3,569.4,76.8
Alabama,1962,3358000,35829,11722,21306,2801,1067,349.1,634.5,83.4
Alabama,1963,3347000,38521,12614,22874,3033,1150.9,376.9,683.4,90.6
Alabama,1964,3407000,46290,15898,26713,3679,1358.7,466.6,784.1,108
Alabama,1965,3462000,48215,16398,28115,3702,1392.7,473.7,812.1,106.9
Alabama,1966,3517000,53740,18551,30583,4606,1528,527.5,869.6,131
Alabama,1967,3540000,57079,20227,31682,5170,1612.4,571.4,895,146
Alabama,1968,3566000,62997,22403,34508,6086,1766.6,628.2,967.7,170.7
Alabama,1969,3531000,66248,23559,36644,6045,1876.2,667.2,1037.8,171.2
Alabama,1970,3444165,75214,26739,40779,7696,2183.8,776.4,1184,223.5
Alabama,1971,3479000,76084,27547,40841,7696,2187,791.8,1173.9,221.2
Alabama,1972,3510000,73053,27714,38493,6846,2081.3,789.6,1096.7,195
Alabama,1973,3539000,78999,31754,39206,8039,2232.2,897.3,1107.8,227.2
Alabama,1974,3577000,93976,37841,46813,9322,2627.2,1057.9,1308.7,260.6
Alabama,1975,3614000,111296,42059,59470,9767,3079.6,1163.8,1645.5,270.3
Alabama,1976,3665000,125325,42879,72832,9614,3419.5,1170,1987.2,262.3
Alabama,1977,3690000,121702,41901,69442,10359,3298.2,1135.5,1881.9,280.7
Alabama,1978,3742000,131707,46001,74387,11319,3519.7,1229.3,1987.9,302.5
Alabama,1979,3769000,144372,48517,83791,12064,3830.5,1287.3,2223.2,320.1
Alabama,1980,3861466,173191,58952,102029,12210,4485.1,1526.7,2642.2,316.2
Alabama,1981,3916000,173411,56811,105471,11129,4428.3,1450.7,2693.3,284.2
Alabama,1982,3943000,165048,49531,104740,10777,4185.8,1256.2,2656.4,273.3
Alabama,1983,3959000,145890,42485,94279,9126,3685,1073.1,2381.4,230.5
Alabama,1984,3990000,138487,39970,89198,9319,3470.9,1001.8,2235.5,233.6
Alabama,1985,4021000,140115,41612,88108,10395,3484.6,1034.9,2191.2,258.5
Alabama,1986,4053000,151191,46974,93396,10821,3730.3,1159,2304.4,267
Alabama,1987,4083000,158918,48927,99260,10731,3892.2,1198.3,2431.1,262.8
Alabama,1988,4127000,165209,50920,103282,11007,4003.1,1233.8,2502.6,266.7
Alabama,1989,4118000,166244,47224,106771,12249,4037,1146.8,2592.8,297.5
Alabama,1990,4040587,169974,44585,111336,14053,4206.7,1103.4,2755.4,347.8
Alabama,1991,4089000,184882,51873,118151,14858,4521.4,1268.6,2889.5,363.4
Alabama,1992,4136000,181837,49053,117801,14983,4396.4,1186,2848.2,362.3
Alabama,1993,4187000,171598,45578,111878,14142,4098.4,1088.6,2672,337.8
Alabama,1994,4219000,178015,44064,119951,14000,4219.4,1044.4,2843.1,331.8
Alabama,1995,4253000,179294,43586,120967,14741,4215.7,1024.8,2844.3,346.6
Alabama,1996,4273000,181803,42821,123350,15632,4254.7,1002.1,2886.7,366
Alabama,1997,4319000,186809,43786,127616,15407,4325.3,1013.8,2954.8,356.7
Alabama,1998,4352000,177779,41965,120943,14871,4085,964.3,2779,341.7
Alabama,1999,4369862,171398,38648,119616,13134,3922.3,884.4,2737.3,300.6
Alabama,2000,4447100,180539,40331,127399,12809,4059.7,906.9,2864.8,288
Alabama,2001,4468912,173253,40642,119992,12619,3876.8,909.4,2685,282.4
Alabama,2002,4478896,180400,42578,123932,13890,4027.8,950.6,2767,310.1
Alabama,2003,4503726,182241,43245,124039,14957,4046.4,960.2,2754.1,332.1
